_id,FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDiscargesQF,CrudeRate,CrudeRateQF,EASR
8040,2010/11,S08000030,,Transfer,,65-74 years,,Female,,Heart Failure,28,,131.2458986,,131.2575054
8041,2010/11,S08000030,,Transfer,,under75 years,d,All,d,Angina,177,,47.77082957,,48.98412794
8042,2010/11,S08000030,,Transfer,,under75 years,d,All,d,Coronary Heart Disease,996,,268.8121257,,277.6360675
8043,2010/11,S08000030,,Transfer,,under75 years,d,All,d,Heart Attack,540,,145.7415139,,149.637234
8044,2010/11,S08000030,,Transfer,,under75 years,d,All,d,Heart Failure,80,,21.5913354,,21.82737725
8045,2010/11,S08000030,,Transfer,,under75 years,d,Male,,Angina,112,,61.46618811,,63.18398202
8046,2010/11,S08000030,,Transfer,,under75 years,d,Male,,Coronary Heart Disease,722,,396.2373912,,410.4380273
8047,2010/11,S08000030,,Transfer,,under75 years,d,Male,,Heart Attack,379,,207.9971901,,214.6148122
8048,2010/11,S08000030,,Transfer,,under75 years,d,Male,,Heart Failure,40,,21.95221004,,22.74824503
8049,2010/11,S08000030,,Transfer,,under75 years,d,Female,,Angina,65,,34.51846738,,34.78427385
8050,2010/11,S08000030,,Transfer,,under75 years,d,Female,,Coronary Heart Disease,274,,145.5086163,,144.8341076
8051,2010/11,S08000030,,Transfer,,under75 years,d,Female,,Heart Attack,161,,85.49958843,,84.65965576
8052,2010/11,S08000030,,Transfer,,under75 years,d,Female,,Heart Failure,40,,21.24213377,,20.90650946
8053,2010/11,S08000030,,Transfer,,75plus years,,All,d,Angina,121,,331.0442943,,333.272292
8054,2010/11,S08000030,,Transfer,,75plus years,,All,d,Coronary Heart Disease,744,,2035.512024,,2086.145416
8055,2010/11,S08000030,,Transfer,,75plus years,,All,d,Heart Attack,476,,1302.289951,,1325.157427
8056,2010/11,S08000030,,Transfer,,75plus years,,All,d,Heart Failure,190,,519.8216191,,544.6439813
8057,2010/11,S08000030,,Transfer,,75plus years,,Male,,Angina,58,,404.2938798,,385.8166565
8058,2010/11,S08000030,,Transfer,,75plus years,,Male,,Coronary Heart Disease,371,,2586.086714,,2530.423164
8059,2010/11,S08000030,,Transfer,,75plus years,,Male,,Heart Attack,213,,1484.734421,,1498.079192
8060,2010/11,S08000030,,Transfer,,75plus years,,Male,,Heart Failure,88,,613.4114039,,654.2856664
8061,2010/11,S08000030,,Transfer,,75plus years,,Female,,Angina,63,,283.7198829,,280.7279274
8062,2010/11,S08000030,,Transfer,,75plus years,,Female,,Coronary Heart Disease,373,,1679.801846,,1641.867668
8063,2010/11,S08000030,,Transfer,,75plus years,,Female,,Heart Attack,263,,1184.417924,,1152.235662
8064,2010/11,S08000030,,Transfer,,75plus years,,Female,,Heart Failure,102,,459.3560009,,435.0022962
8065,2010/11,S08000021,,All,d,All,d,All,d,Angina,2143,,190.0092212,,226.6117219
8066,2010/11,S08000021,,All,d,All,d,All,d,Coronary Heart Disease,10804,,957.9372961,,1145.405141
8067,2010/11,S08000021,,All,d,All,d,All,d,Heart Attack,5197,,460.792311,,551.0127876
8068,2010/11,S08000021,,All,d,All,d,All,d,Heart Failure,2991,,265.1971911,,338.4007657
8069,2010/11,S08000021,,All,d,All,d,Male,,Angina,1183,,218.607711,,281.7253731
8070,2010/11,S08000021,,All,d,All,d,Male,,Coronary Heart Disease,6755,,1248.262965,,1559.710992
8071,2010/11,S08000021,,All,d,All,d,Male,,Heart Attack,3175,,586.7113122,,739.3319345
8072,2010/11,S08000021,,All,d,All,d,Male,,Heart Failure,1498,,276.8168648,,414.1975912
8073,2010/11,S08000021,,All,d,All,d,Female,,Angina,960,,163.6304134,,171.4980706
8074,2010/11,S08000021,,All,d,All,d,Female,,Coronary Heart Disease,4049,,690.1453584,,731.0992914
8075,2010/11,S08000021,,All,d,All,d,Female,,Heart Attack,2022,,344.6465583,,362.6936406
8076,2010/11,S08000021,,All,d,All,d,Female,,Heart Failure,1493,,254.4793826,,262.6039403
8077,2010/11,S08000021,,All,d,0-44 years,,All,d,Angina,83,,12.65838229,,13.10437222
8078,2010/11,S08000021,,All,d,0-44 years,,All,d,Coronary Heart Disease,534,,81.44067642,,85.8267964
8079,2010/11,S08000021,,All,d,0-44 years,,All,d,Heart Attack,329,,50.17599727,,53.18578315
8080,2010/11,S08000021,,All,d,0-44 years,,All,d,Heart Failure,42,,6.40544646,,6.488404409
8081,2010/11,S08000021,,All,d,0-44 years,,Male,,Angina,51,,15.66772142,,16.46010942
8082,2010/11,S08000021,,All,d,0-44 years,,Male,,Coronary Heart Disease,386,,118.5831464,,127.0774712
8083,2010/11,S08000021,,All,d,0-44 years,,Male,,Heart Attack,255,,78.33860711,,84.09935433
8084,2010/11,S08000021,,All,d,0-44 years,,Male,,Heart Failure,17,,5.222573807,,5.397194498
8085,2010/11,S08000021,,All,d,0-44 years,,Female,,Angina,32,,9.691624619,,9.74863501
8086,2010/11,S08000021,,All,d,0-44 years,,Female,,Coronary Heart Disease,148,,44.82376386,,44.5761216
8087,2010/11,S08000021,,All,d,0-44 years,,Female,,Heart Attack,74,,22.41188193,,22.27221197
8088,2010/11,S08000021,,All,d,0-44 years,,Female,,Heart Failure,25,,7.571581734,,7.579614319
8089,2010/11,S08000021,,All,d,45-64 years,,All,d,Angina,699,,237.0946242,,245.0755522
8090,2010/11,S08000021,,All,d,45-64 years,,All,d,Coronary Heart Disease,4117,,1396.450025,,1457.177363
8091,2010/11,S08000021,,All,d,45-64 years,,All,d,Heart Attack,1872,,634.9658604,,658.4876701
8092,2010/11,S08000021,,All,d,45-64 years,,All,d,Heart Failure,484,,164.1685237,,173.3670178
8093,2010/11,S08000021,,All,d,45-64 years,,Male,,Angina,439,,307.4617249,,315.9256391
8094,2010/11,S08000021,,All,d,45-64 years,,Male,,Coronary Heart Disease,2962,,2074.491182,,2128.5931
8095,2010/11,S08000021,,All,d,45-64 years,,Male,,Heart Attack,1368,,958.1039627,,974.2119306
8096,2010/11,S08000021,,All,d,45-64 years,,Male,,Heart Failure,300,,210.1105181,,218.247847
8097,2010/11,S08000021,,All,d,45-64 years,,Female,,Angina,260,,171.0110039,,174.2254654
8098,2010/11,S08000021,,All,d,45-64 years,,Female,,Coronary Heart Disease,1155,,759.6834981,,785.7616248
8099,2010/11,S08000021,,All,d,45-64 years,,Female,,Heart Attack,504,,331.4982537,,342.7634096
8100,2010/11,S08000021,,All,d,45-64 years,,Female,,Heart Failure,184,,121.023172,,128.4861887
8101,2010/11,S08000021,,All,d,65-74 years,,All,d,Angina,553,,589.2695402,,606.4439784
8102,2010/11,S08000021,,All,d,65-74 years,,All,d,Coronary Heart Disease,2677,,2852.576056,,2955.895387
8103,2010/11,S08000021,,All,d,65-74 years,,All,d,Heart Attack,1131,,1205.178752,,1244.38427
8104,2010/11,S08000021,,All,d,65-74 years,,All,d,Heart Failure,664,,707.549683,,732.8011189
8105,2010/11,S08000021,,All,d,65-74 years,,Male,,Angina,332,,779.1598216,,783.862636
8106,2010/11,S08000021,,All,d,65-74 years,,Male,,Coronary Heart Disease,1687,,3959.164515,,3980.419133
8107,2010/11,S08000021,,All,d,65-74 years,,Male,,Heart Attack,685,,1607.603849,,1616.735005
8108,2010/11,S08000021,,All,d,65-74 years,,Male,,Heart Failure,421,,988.0309786,,994.6274876
8109,2010/11,S08000021,,All,d,65-74 years,,Female,,Angina,221,,431.3457597,,429.0253208
8110,2010/11,S08000021,,All,d,65-74 years,,Female,,Coronary Heart Disease,990,,1932.27286,,1931.371642
8111,2010/11,S08000021,,All,d,65-74 years,,Female,,Heart Attack,446,,870.4986825,,872.0335355
8112,2010/11,S08000021,,All,d,65-74 years,,Female,,Heart Failure,243,,474.2851566,,470.9747501
8113,2010/11,S08000021,,All,d,under75 years,d,All,d,Angina,1335,,127.8299737,,149.1186814
8114,2010/11,S08000021,,All,d,under75 years,d,All,d,Coronary Heart Disease,7328,,701.6764398,,816.3378976
8115,2010/11,S08000021,,All,d,under75 years,d,All,d,Heart Attack,3332,,319.0482939,,366.9009933
8116,2010/11,S08000021,,All,d,under75 years,d,All,d,Heart Failure,1190,,113.9458192,,138.8902369
8117,2010/11,S08000021,,All,d,under75 years,d,Male,,Angina,822,,160.8919127,,192.2135497
8118,2010/11,S08000021,,All,d,under75 years,d,Male,,Coronary Heart Disease,5035,,985.5118986,,1154.552764
8119,2010/11,S08000021,,All,d,under75 years,d,Male,,Heart Attack,2308,,451.7500421,,520.1505368
8120,2010/11,S08000021,,All,d,under75 years,d,Male,,Heart Failure,738,,144.4504034,,181.5231326
8121,2010/11,S08000021,,All,d,under75 years,d,Female,,Angina,513,,96.1657425,,106.0238131
8122,2010/11,S08000021,,All,d,under75 years,d,Female,,Coronary Heart Disease,2293,,429.8402486,,478.1230314
8123,2010/11,S08000021,,All,d,under75 years,d,Female,,Heart Attack,1024,,191.9565698,,213.6514497
8124,2010/11,S08000021,,All,d,under75 years,d,Female,,Heart Failure,452,,84.73082965,,96.2573412
8125,2010/11,S08000021,,All,d,75plus years,,All,d,Angina,808,,967.850127,,1010.152464
8126,2010/11,S08000021,,All,d,75plus years,,All,d,Coronary Heart Disease,3476,,4163.672081,,4472.640608
8127,2010/11,S08000021,,All,d,75plus years,,All,d,Heart Attack,1865,,2233.960999,,2412.587597
8128,2010/11,S08000021,,All,d,75plus years,,All,d,Heart Failure,1801,,2157.299602,,2355.673891
8129,2010/11,S08000021,,All,d,75plus years,,Male,,Angina,361,,1193.38843,,1186.789365
8130,2010/11,S08000021,,All,d,75plus years,,Male,,Coronary Heart Disease,1720,,5685.950413,,5656.310851
8131,2010/11,S08000021,,All,d,75plus years,,Male,,Heart Attack,867,,2866.115702,,2955.4994
8132,2010/11,S08000021,,All,d,75plus years,,Male,,Heart Failure,760,,2512.396694,,2766.794894
8133,2010/11,S08000021,,All,d,75plus years,,Female,,Angina,447,,839.6889206,,833.5155637
8134,2010/11,S08000021,,All,d,75plus years,,Female,,Coronary Heart Disease,1756,,3298.643724,,3288.970364
8135,2010/11,S08000021,,All,d,75plus years,,Female,,Heart Attack,998,,1874.741706,,1869.675793
8136,2010/11,S08000021,,All,d,75plus years,,Female,,Heart Failure,1041,,1955.517151,,1944.552887
8137,2010/11,S08000021,,Elective,,All,d,All,d,Angina,45,,3.989927649,,4.452740069
8138,2010/11,S08000021,,Elective,,All,d,All,d,Coronary Heart Disease,1876,,166.3356504,,195.8608086
8139,2010/11,S08000021,,Elective,,All,d,All,d,Heart Attack,96,,8.511845652,,9.954852275
8140,2010/11,S08000021,,Elective,,All,d,All,d,Heart Failure,137,,12.14711307,,14.97414445
8141,2010/11,S08000021,,Elective,,All,d,Male,,Angina,25,,4.619774112,,5.260911839
8142,2010/11,S08000021,,Elective,,All,d,Male,,Coronary Heart Disease,1272,,235.0541068,,279.1279954
8143,2010/11,S08000021,,Elective,,All,d,Male,,Heart Attack,60,,11.08745787,,13.35748312
8144,2010/11,S08000021,,Elective,,All,d,Male,,Heart Failure,89,,16.44639584,,21.25946284
8145,2010/11,S08000021,,Elective,,All,d,Female,,Angina,20,,3.408966947,,3.644568298
8146,2010/11,S08000021,,Elective,,All,d,Female,,Coronary Heart Disease,604,,102.9508018,,112.5936218
8147,2010/11,S08000021,,Elective,,All,d,Female,,Heart Attack,36,,6.136140504,,6.552221427
8148,2010/11,S08000021,,Elective,,All,d,Female,,Heart Failure,48,,8.181520672,,8.688826056
8149,2010/11,S08000021,,Elective,,0-44 years,,All,d,Angina,0,,0,,0
8150,2010/11,S08000021,,Elective,,0-44 years,,All,d,Coronary Heart Disease,73,,11.13327599,,11.68948107
8151,2010/11,S08000021,,Elective,,0-44 years,,All,d,Heart Attack,7,,1.06757441,,1.116933578
8152,2010/11,S08000021,,Elective,,0-44 years,,All,d,Heart Failure,6,,0.91506378,,0.953467657
8153,2010/11,S08000021,,Elective,,0-44 years,,Male,,Angina,0,,0,,0
8154,2010/11,S08000021,,Elective,,0-44 years,,Male,,Coronary Heart Disease,51,,15.66772142,,16.69862166
8155,2010/11,S08000021,,Elective,,0-44 years,,Male,,Heart Attack,5,,1.53605112,,1.601789611
8156,2010/11,S08000021,,Elective,,0-44 years,,Male,,Heart Failure,4,,1.228840896,,1.324395692
8157,2010/11,S08000021,,Elective,,0-44 years,,Female,,Angina,0,,0,,0
8158,2010/11,S08000021,,Elective,,0-44 years,,Female,,Coronary Heart Disease,22,,6.662991926,,6.680340469
8159,2010/11,S08000021,,Elective,,0-44 years,,Female,,Heart Attack,2,,0.605726539,,0.632077545
8160,2010/11,S08000021,,Elective,,0-44 years,,Female,,Heart Failure,2,,0.605726539,,0.582539623
8161,2010/11,S08000021,,Elective,,45-64 years,,All,d,Angina,25,,8.479779119,,8.604085577
8162,2010/11,S08000021,,Elective,,45-64 years,,All,d,Coronary Heart Disease,912,,309.3423423,,325.5877007
8163,2010/11,S08000021,,Elective,,45-64 years,,All,d,Heart Attack,41,,13.90683775,,14.15574722
8164,2010/11,S08000021,,Elective,,45-64 years,,All,d,Heart Failure,54,,18.3163229,,19.47273138
8165,2010/11,S08000021,,Elective,,45-64 years,,Male,,Angina,16,,11.2058943,,11.05653155
8166,2010/11,S08000021,,Elective,,45-64 years,,Male,,Coronary Heart Disease,662,,463.6438767,,479.2451723
8167,2010/11,S08000021,,Elective,,45-64 years,,Male,,Heart Attack,28,,19.61031503,,19.4197877
8168,2010/11,S08000021,,Elective,,45-64 years,,Male,,Heart Failure,36,,25.21326218,,26.5481371
8169,2010/11,S08000021,,Elective,,45-64 years,,Female,,Angina,9,,5.919611673,,6.1516396
8170,2010/11,S08000021,,Elective,,45-64 years,,Female,,Coronary Heart Disease,250,,164.4336576,,171.9302291
8171,2010/11,S08000021,,Elective,,45-64 years,,Female,,Heart Attack,13,,8.550550195,,8.891706745
8172,2010/11,S08000021,,Elective,,45-64 years,,Female,,Heart Failure,18,,11.83922335,,12.39732567
8173,2010/11,S08000021,,Elective,,65-74 years,,All,d,Angina,8,,8.524694976,,8.609187205
8174,2010/11,S08000021,,Elective,,65-74 years,,All,d,Coronary Heart Disease,561,,597.7942352,,621.034426
8175,2010/11,S08000021,,Elective,,65-74 years,,All,d,Heart Attack,23,,24.50849806,,25.23130058
8176,2010/11,S08000021,,Elective,,65-74 years,,All,d,Heart Failure,39,,41.55788801,,43.75590849
8177,2010/11,S08000021,,Elective,,65-74 years,,Male,,Angina,4,,9.387467731,,9.415632949
8178,2010/11,S08000021,,Elective,,65-74 years,,Male,,Coronary Heart Disease,368,,863.6470312,,865.7314239
8179,2010/11,S08000021,,Elective,,65-74 years,,Male,,Heart Attack,14,,32.85613706,,32.95471532
8180,2010/11,S08000021,,Elective,,65-74 years,,Male,,Heart Failure,28,,65.71227411,,65.90943064
8181,2010/11,S08000021,,Elective,,65-74 years,,Female,,Angina,4,,7.807163072,,7.802741462
8182,2010/11,S08000021,,Elective,,65-74 years,,Female,,Coronary Heart Disease,193,,376.6956182,,376.3374282
8183,2010/11,S08000021,,Elective,,65-74 years,,Female,,Heart Attack,9,,17.56611691,,17.50788585
8184,2010/11,S08000021,,Elective,,65-74 years,,Female,,Heart Failure,11,,21.46969845,,21.60238634
8185,2010/11,S08000021,,Elective,,under75 years,d,All,d,Angina,33,,3.159842046,,3.498953115
8186,2010/11,S08000021,,Elective,,under75 years,d,All,d,Coronary Heart Disease,1546,,148.0338122,,173.4084343
8187,2010/11,S08000021,,Elective,,under75 years,d,All,d,Heart Attack,71,,6.798448039,,7.696377701
8188,2010/11,S08000021,,Elective,,under75 years,d,All,d,Heart Failure,99,,9.479526139,,11.28518323
8189,2010/11,S08000021,,Elective,,under75 years,d,Male,,Angina,20,,3.914645079,,4.306178375
8190,2010/11,S08000021,,Elective,,under75 years,d,Male,,Coronary Heart Disease,1081,,211.5865665,,249.3615669
8191,2010/11,S08000021,,Elective,,under75 years,d,Male,,Heart Attack,47,,9.199415935,,10.40819257
8192,2010/11,S08000021,,Elective,,under75 years,d,Male,,Heart Failure,68,,13.30979327,,16.12189035
8193,2010/11,S08000021,,Elective,,under75 years,d,Female,,Angina,13,,2.43694864,,2.691727854
8194,2010/11,S08000021,,Elective,,under75 years,d,Female,,Coronary Heart Disease,465,,87.16777829,,97.45530169
8195,2010/11,S08000021,,Elective,,under75 years,d,Female,,Heart Attack,24,,4.498982105,,4.984562831
8196,2010/11,S08000021,,Elective,,under75 years,d,Female,,Heart Failure,31,,5.811185219,,6.448476116
8197,2010/11,S08000021,,Elective,,75plus years,,All,d,Angina,12,,14.37401179,,14.09658594
8198,2010/11,S08000021,,Elective,,75plus years,,All,d,Coronary Heart Disease,330,,395.2853241,,422.8792599
8199,2010/11,S08000021,,Elective,,75plus years,,All,d,Heart Attack,25,,29.94585789,,32.79053964
8200,2010/11,S08000021,,Elective,,75plus years,,All,d,Heart Failure,38,,45.51770399,,52.27364117
8201,2010/11,S08000021,,Elective,,75plus years,,Male,,Angina,5,,16.52892562,,14.91432798
8202,2010/11,S08000021,,Elective,,75plus years,,Male,,Coronary Heart Disease,191,,631.4049587,,580.0996614
8203,2010/11,S08000021,,Elective,,75plus years,,Male,,Heart Attack,13,,42.97520661,,43.1780876
8204,2010/11,S08000021,,Elective,,75plus years,,Male,,Heart Failure,21,,69.4214876,,73.20602911
8205,2010/11,S08000021,,Elective,,75plus years,,Female,,Angina,7,,13.14949093,,13.27884389
8206,2010/11,S08000021,,Elective,,75plus years,,Female,,Coronary Heart Disease,139,,261.1113198,,265.6588584
8207,2010/11,S08000021,,Elective,,75plus years,,Female,,Heart Attack,12,,22.54198445,,22.40299167
8208,2010/11,S08000021,,Elective,,75plus years,,Female,,Heart Failure,17,,31.93447797,,31.34125324
8209,2010/11,S08000021,,Emergency,,All,d,All,d,Angina,1352,,119.8751596,,140.4766822
8210,2010/11,S08000021,,Emergency,,All,d,All,d,Coronary Heart Disease,3842,,340.6511562,,402.21645
8211,2010/11,S08000021,,Emergency,,All,d,All,d,Heart Attack,2158,,191.339197,,226.9918688
8212,2010/11,S08000021,,Emergency,,All,d,All,d,Heart Failure,1388,,123.0671017,,157.0670252
8213,2010/11,S08000021,,Emergency,,All,d,Male,,Angina,725,,133.9734492,,168.8835648
8214,2010/11,S08000021,,Emergency,,All,d,Male,,Coronary Heart Disease,2256,,416.8884158,,520.6970053
8215,2010/11,S08000021,,Emergency,,All,d,Male,,Heart Attack,1335,,246.6959376,,306.4274472
8216,2010/11,S08000021,,Emergency,,All,d,Male,,Heart Failure,694,,128.2449293,,191.845447
8217,2010/11,S08000021,,Emergency,,All,d,Female,,Angina,627,,106.8711138,,112.0697995
8218,2010/11,S08000021,,Emergency,,All,d,Female,,Coronary Heart Disease,1586,,270.3310789,,283.7358947
8219,2010/11,S08000021,,Emergency,,All,d,Female,,Heart Attack,823,,140.2789899,,147.5562905
8220,2010/11,S08000021,,Emergency,,All,d,Female,,Heart Failure,694,,118.291153,,122.2886035
8221,2010/11,S08000021,,Emergency,,0-44 years,,All,d,Angina,57,,8.693105909,,8.989225246
8222,2010/11,S08000021,,Emergency,,0-44 years,,All,d,Coronary Heart Disease,218,,33.24731734,,34.94075008
8223,2010/11,S08000021,,Emergency,,0-44 years,,All,d,Heart Attack,146,,22.26655198,,23.52972693
8224,2010/11,S08000021,,Emergency,,0-44 years,,All,d,Heart Failure,17,,2.59268071,,2.585894803
8225,2010/11,S08000021,,Emergency,,0-44 years,,Male,,Angina,36,,11.05956806,,11.6566501
8226,2010/11,S08000021,,Emergency,,0-44 years,,Male,,Coronary Heart Disease,156,,47.92479494,,51.24615703
8227,2010/11,S08000021,,Emergency,,0-44 years,,Male,,Heart Attack,113,,34.71475531,,37.17514547
8228,2010/11,S08000021,,Emergency,,0-44 years,,Male,,Heart Failure,5,,1.53605112,,1.490062225
8229,2010/11,S08000021,,Emergency,,0-44 years,,Female,,Angina,21,,6.360128656,,6.321800391
8230,2010/11,S08000021,,Emergency,,0-44 years,,Female,,Coronary Heart Disease,62,,18.7775227,,18.63534312
8231,2010/11,S08000021,,Emergency,,0-44 years,,Female,,Heart Attack,33,,9.994487888,,9.884308396
8232,2010/11,S08000021,,Emergency,,0-44 years,,Female,,Heart Failure,12,,3.634359232,,3.681727381
8233,2010/11,S08000021,,Emergency,,45-64 years,,All,d,Angina,468,,158.7414651,,163.7467932
8234,2010/11,S08000021,,Emergency,,45-64 years,,All,d,Coronary Heart Disease,1401,,475.2068218,,492.093925
8235,2010/11,S08000021,,Emergency,,45-64 years,,All,d,Heart Attack,804,,272.7096965,,283.0319888
8236,2010/11,S08000021,,Emergency,,45-64 years,,All,d,Heart Failure,223,,75.63962974,,79.73978523
8237,2010/11,S08000021,,Emergency,,45-64 years,,Male,,Angina,292,,204.507571,,209.796023
8238,2010/11,S08000021,,Emergency,,45-64 years,,Male,,Coronary Heart Disease,979,,685.6606575,,699.6150577
8239,2010/11,S08000021,,Emergency,,45-64 years,,Male,,Heart Attack,603,,422.3221414,,429.4461201
8240,2010/11,S08000021,,Emergency,,45-64 years,,Male,,Heart Failure,134,,93.84936477,,97.66247632
8241,2010/11,S08000021,,Emergency,,45-64 years,,Female,,Angina,176,,115.7612949,,117.6975634
8242,2010/11,S08000021,,Emergency,,45-64 years,,Female,,Coronary Heart Disease,422,,277.564014,,284.5727923
8243,2010/11,S08000021,,Emergency,,45-64 years,,Female,,Heart Attack,201,,132.2046607,,136.6178575
8244,2010/11,S08000021,,Emergency,,45-64 years,,Female,,Heart Failure,89,,58.5383821,,61.81709414
8245,2010/11,S08000021,,Emergency,,65-74 years,,All,d,Angina,345,,367.6274708,,376.9118139
8246,2010/11,S08000021,,Emergency,,65-74 years,,All,d,Coronary Heart Disease,869,,925.9949917,,955.7777424
8247,2010/11,S08000021,,Emergency,,65-74 years,,All,d,Heart Attack,446,,475.2517449,,491.6925267
8248,2010/11,S08000021,,Emergency,,65-74 years,,All,d,Heart Failure,321,,342.0533859,,354.9641759
8249,2010/11,S08000021,,Emergency,,65-74 years,,Male,,Angina,200,,469.3733865,,472.4710055
8250,2010/11,S08000021,,Emergency,,65-74 years,,Male,,Coronary Heart Disease,525,,1232.10514,,1241.292238
8251,2010/11,S08000021,,Emergency,,65-74 years,,Male,,Heart Attack,274,,643.0415395,,646.9980866
8252,2010/11,S08000021,,Emergency,,65-74 years,,Male,,Heart Failure,205,,481.1077212,,485.0007578
8253,2010/11,S08000021,,Emergency,,65-74 years,,Female,,Angina,145,,283.0096614,,281.3526223
8254,2010/11,S08000021,,Emergency,,65-74 years,,Female,,Coronary Heart Disease,344,,671.4160242,,670.2632467
8255,2010/11,S08000021,,Emergency,,65-74 years,,Female,,Heart Attack,172,,335.7080121,,336.3869668
8256,2010/11,S08000021,,Emergency,,65-74 years,,Female,,Heart Failure,116,,226.4077291,,224.9275941
8257,2010/11,S08000021,,Emergency,,under75 years,d,All,d,Angina,870,,83.30492667,,96.50859592
8258,2010/11,S08000021,,Emergency,,under75 years,d,All,d,Coronary Heart Disease,2488,,238.2329397,,274.3181957
8259,2010/11,S08000021,,Emergency,,under75 years,d,All,d,Heart Attack,1396,,133.6708938,,153.1178515
8260,2010/11,S08000021,,Emergency,,under75 years,d,All,d,Heart Failure,561,,53.71731479,,65.71281841
8261,2010/11,S08000021,,Emergency,,under75 years,d,Male,,Angina,528,,103.3466301,,122.5274645
8262,2010/11,S08000021,,Emergency,,under75 years,d,Male,,Coronary Heart Disease,1660,,324.9155415,,377.3698902
8263,2010/11,S08000021,,Emergency,,under75 years,d,Male,,Heart Attack,990,,193.7749314,,221.7720873
8264,2010/11,S08000021,,Emergency,,under75 years,d,Male,,Heart Failure,344,,67.33189535,,85.28601032
8265,2010/11,S08000021,,Emergency,,under75 years,d,Female,,Angina,342,,64.110495,,70.48972731
8266,2010/11,S08000021,,Emergency,,under75 years,d,Female,,Coronary Heart Disease,828,,155.2148826,,171.2665013
8267,2010/11,S08000021,,Emergency,,under75 years,d,Female,,Heart Attack,406,,76.10778061,,84.46361569
8268,2010/11,S08000021,,Emergency,,under75 years,d,Female,,Heart Failure,217,,40.67829654,,46.13962649
8269,2010/11,S08000021,,Emergency,,75plus years,,All,d,Angina,482,,577.3561401,,585.0428875
8270,2010/11,S08000021,,Emergency,,75plus years,,All,d,Coronary Heart Disease,1354,,1621.867663,,1695.409909
8271,2010/11,S08000021,,Emergency,,75plus years,,All,d,Heart Attack,762,,912.7497485,,973.9402662
8272,2010/11,S08000021,,Emergency,,75plus years,,All,d,Heart Failure,827,,990.608979,,1080.759561
8273,2010/11,S08000021,,Emergency,,75plus years,,Male,,Angina,197,,651.2396694,,637.5952457
8274,2010/11,S08000021,,Emergency,,75plus years,,Male,,Coronary Heart Disease,596,,1970.247934,,1969.893391
8275,2010/11,S08000021,,Emergency,,75plus years,,Male,,Heart Attack,345,,1140.495868,,1162.387197
8276,2010/11,S08000021,,Emergency,,75plus years,,Male,,Heart Failure,350,,1157.024793,,1269.279751
8277,2010/11,S08000021,,Emergency,,75plus years,,Female,,Angina,285,,535.3721306,,532.4905293
8278,2010/11,S08000021,,Emergency,,75plus years,,Female,,Coronary Heart Disease,758,,1423.902018,,1420.926428
8279,2010/11,S08000021,,Emergency,,75plus years,,Female,,Heart Attack,417,,783.3339595,,785.4933358
8280,2010/11,S08000021,,Emergency,,75plus years,,Female,,Heart Failure,477,,896.0438817,,892.2393705
8281,2010/11,S08000021,,Transfer,,All,d,All,d,Angina,746,,66.14413392,,81.68229964
8282,2010/11,S08000021,,Transfer,,All,d,All,d,Coronary Heart Disease,5086,,450.9504894,,547.3278829
8283,2010/11,S08000021,,Transfer,,All,d,All,d,Heart Attack,2943,,260.9412683,,314.0660665
8284,2010/11,S08000021,,Transfer,,All,d,All,d,Heart Failure,1466,,129.9829763,,166.3595961
8285,2010/11,S08000021,,Transfer,,All,d,Male,,Angina,433,,80.01448761,,107.5808964
8286,2010/11,S08000021,,Transfer,,All,d,Male,,Coronary Heart Disease,3227,,596.3204423,,759.885991
8287,2010/11,S08000021,,Transfer,,All,d,Male,,Heart Attack,1780,,328.9279167,,419.5470042
8288,2010/11,S08000021,,Transfer,,All,d,Male,,Heart Failure,715,,132.1255396,,201.0926813
8289,2010/11,S08000021,,Transfer,,All,d,Female,,Angina,313,,53.35033272,,55.78370286
8290,2010/11,S08000021,,Transfer,,All,d,Female,,Coronary Heart Disease,1859,,316.8634777,,334.7697749
8291,2010/11,S08000021,,Transfer,,All,d,Female,,Heart Attack,1163,,198.2314279,,208.5851287
8292,2010/11,S08000021,,Transfer,,All,d,Female,,Heart Failure,751,,128.0067088,,131.6265108
8293,2010/11,S08000021,,Transfer,,0-44 years,,All,d,Angina,26,,3.96527638,,4.11514697
8294,2010/11,S08000021,,Transfer,,0-44 years,,All,d,Coronary Heart Disease,243,,37.06008309,,39.19656526
8295,2010/11,S08000021,,Transfer,,0-44 years,,All,d,Heart Attack,176,,26.84187088,,28.53912264
8296,2010/11,S08000021,,Transfer,,0-44 years,,All,d,Heart Failure,19,,2.89770197,,2.949041949
8297,2010/11,S08000021,,Transfer,,0-44 years,,Male,,Angina,15,,4.608153359,,4.80345932
8298,2010/11,S08000021,,Transfer,,0-44 years,,Male,,Coronary Heart Disease,179,,54.99063009,,59.13269251
8299,2010/11,S08000021,,Transfer,,0-44 years,,Male,,Heart Attack,137,,42.08780068,,45.32241925
8300,2010/11,S08000021,,Transfer,,0-44 years,,Male,,Heart Failure,8,,2.457681792,,2.582736582
8301,2010/11,S08000021,,Transfer,,0-44 years,,Female,,Angina,11,,3.331495963,,3.426834619
8302,2010/11,S08000021,,Transfer,,0-44 years,,Female,,Coronary Heart Disease,64,,19.38324924,,19.26043801
