"","year","ca","age_group","sex","diagnosis","number_of_deaths","crude_rate","LA_Name"
"1161",2009,"S12000035","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"Argyll and Bute"
"1162",2009,"S12000035","65-74 years","All","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1163",2009,"S12000035","65-74 years","All","Stroke",NA,NA,"Argyll and Bute"
"1164",2009,"S12000035","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"Argyll and Bute"
"1165",2009,"S12000035","65-74 years","Male","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1166",2009,"S12000035","65-74 years","Male","Stroke",NA,NA,"Argyll and Bute"
"1167",2009,"S12000035","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"Argyll and Bute"
"1168",2009,"S12000035","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1169",2009,"S12000035","65-74 years","Female","Stroke",NA,NA,"Argyll and Bute"
"1170",2009,"S12000035","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,"Argyll and Bute"
"1171",2009,"S12000035","under75 years","All","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1172",2009,"S12000035","under75 years","All","Stroke",NA,NA,"Argyll and Bute"
"1173",2009,"S12000035","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"Argyll and Bute"
"1174",2009,"S12000035","under75 years","Male","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1175",2009,"S12000035","under75 years","Male","Stroke",NA,NA,"Argyll and Bute"
"1176",2009,"S12000035","under75 years","Male","Subarachnoid Haemorrhage",0,0,"Argyll and Bute"
"1177",2009,"S12000035","under75 years","Female","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1178",2009,"S12000035","under75 years","Female","Stroke",NA,NA,"Argyll and Bute"
"1179",2009,"S12000035","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"Argyll and Bute"
"1180",2009,"S12000035","75plus years","All","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1181",2009,"S12000035","75plus years","All","Stroke",NA,NA,"Argyll and Bute"
"1182",2009,"S12000035","75plus years","All","Subarachnoid Haemorrhage",0,0,"Argyll and Bute"
"1183",2009,"S12000035","75plus years","Male","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1184",2009,"S12000035","75plus years","Male","Stroke",NA,NA,"Argyll and Bute"
"1185",2009,"S12000035","75plus years","Male","Subarachnoid Haemorrhage",0,0,"Argyll and Bute"
"1186",2009,"S12000035","75plus years","Female","Cerebrovascular Disease",NA,NA,"Argyll and Bute"
"1187",2009,"S12000035","75plus years","Female","Stroke",NA,NA,"Argyll and Bute"
"1188",2009,"S12000035","75plus years","Female","Subarachnoid Haemorrhage",0,0,"Argyll and Bute"
"1189",2009,"S12000036","All","All","Cerebrovascular Disease",399,86.13,"City of Edinburgh"
"1190",2009,"S12000036","All","All","Stroke",232,50.08,"City of Edinburgh"
"1191",2009,"S12000036","All","All","Subarachnoid Haemorrhage",16,3.45,"City of Edinburgh"
"1192",2009,"S12000036","All","Male","Cerebrovascular Disease",149,66.12,"City of Edinburgh"
"1193",2009,"S12000036","All","Male","Stroke",85,37.72,"City of Edinburgh"
"1194",2009,"S12000036","All","Male","Subarachnoid Haemorrhage",3,1.33,"City of Edinburgh"
"1195",2009,"S12000036","All","Female","Cerebrovascular Disease",250,105.1,"City of Edinburgh"
"1196",2009,"S12000036","All","Female","Stroke",147,61.8,"City of Edinburgh"
"1197",2009,"S12000036","All","Female","Subarachnoid Haemorrhage",13,5.46,"City of Edinburgh"
"1198",2009,"S12000036","0-44 years","All","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1199",2009,"S12000036","0-44 years","All","Stroke",NA,NA,"City of Edinburgh"
"1200",2009,"S12000036","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1201",2009,"S12000036","0-44 years","Male","Cerebrovascular Disease",0,0,"City of Edinburgh"
"1202",2009,"S12000036","0-44 years","Male","Stroke",0,0,"City of Edinburgh"
"1203",2009,"S12000036","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"City of Edinburgh"
"1204",2009,"S12000036","0-44 years","Female","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1205",2009,"S12000036","0-44 years","Female","Stroke",NA,NA,"City of Edinburgh"
"1206",2009,"S12000036","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1207",2009,"S12000036","45-64 years","All","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1208",2009,"S12000036","45-64 years","All","Stroke",NA,NA,"City of Edinburgh"
"1209",2009,"S12000036","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1210",2009,"S12000036","45-64 years","Male","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1211",2009,"S12000036","45-64 years","Male","Stroke",NA,NA,"City of Edinburgh"
"1212",2009,"S12000036","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1213",2009,"S12000036","45-64 years","Female","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1214",2009,"S12000036","45-64 years","Female","Stroke",NA,NA,"City of Edinburgh"
"1215",2009,"S12000036","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1216",2009,"S12000036","65-74 years","All","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1217",2009,"S12000036","65-74 years","All","Stroke",NA,NA,"City of Edinburgh"
"1218",2009,"S12000036","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1219",2009,"S12000036","65-74 years","Male","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1220",2009,"S12000036","65-74 years","Male","Stroke",NA,NA,"City of Edinburgh"
"1221",2009,"S12000036","65-74 years","Male","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1222",2009,"S12000036","65-74 years","Female","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1223",2009,"S12000036","65-74 years","Female","Stroke",NA,NA,"City of Edinburgh"
"1224",2009,"S12000036","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1225",2009,"S12000036","under75 years","All","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1226",2009,"S12000036","under75 years","All","Stroke",NA,NA,"City of Edinburgh"
"1227",2009,"S12000036","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1228",2009,"S12000036","under75 years","Male","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1229",2009,"S12000036","under75 years","Male","Stroke",NA,NA,"City of Edinburgh"
"1230",2009,"S12000036","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1231",2009,"S12000036","under75 years","Female","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1232",2009,"S12000036","under75 years","Female","Stroke",NA,NA,"City of Edinburgh"
"1233",2009,"S12000036","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1234",2009,"S12000036","75plus years","All","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1235",2009,"S12000036","75plus years","All","Stroke",NA,NA,"City of Edinburgh"
"1236",2009,"S12000036","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1237",2009,"S12000036","75plus years","Male","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1238",2009,"S12000036","75plus years","Male","Stroke",NA,NA,"City of Edinburgh"
"1239",2009,"S12000036","75plus years","Male","Subarachnoid Haemorrhage",0,0,"City of Edinburgh"
"1240",2009,"S12000036","75plus years","Female","Cerebrovascular Disease",NA,NA,"City of Edinburgh"
"1241",2009,"S12000036","75plus years","Female","Stroke",NA,NA,"City of Edinburgh"
"1242",2009,"S12000036","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"City of Edinburgh"
"1243",2009,"S12000038","All","All","Cerebrovascular Disease",195,112.7,"Renfrewshire"
"1244",2009,"S12000038","All","All","Stroke",96,55.48,"Renfrewshire"
"1245",2009,"S12000038","All","All","Subarachnoid Haemorrhage",9,5.2,"Renfrewshire"
"1246",2009,"S12000038","All","Male","Cerebrovascular Disease",81,97.72,"Renfrewshire"
"1247",2009,"S12000038","All","Male","Stroke",35,42.23,"Renfrewshire"
"1248",2009,"S12000038","All","Male","Subarachnoid Haemorrhage",5,6.03,"Renfrewshire"
"1249",2009,"S12000038","All","Female","Cerebrovascular Disease",114,126.48,"Renfrewshire"
"1250",2009,"S12000038","All","Female","Stroke",61,67.68,"Renfrewshire"
"1251",2009,"S12000038","All","Female","Subarachnoid Haemorrhage",4,4.44,"Renfrewshire"
"1252",2009,"S12000038","0-44 years","All","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1253",2009,"S12000038","0-44 years","All","Stroke",0,0,"Renfrewshire"
"1254",2009,"S12000038","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1255",2009,"S12000038","0-44 years","Male","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1256",2009,"S12000038","0-44 years","Male","Stroke",0,0,"Renfrewshire"
"1257",2009,"S12000038","0-44 years","Male","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1258",2009,"S12000038","0-44 years","Female","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1259",2009,"S12000038","0-44 years","Female","Stroke",0,0,"Renfrewshire"
"1260",2009,"S12000038","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1261",2009,"S12000038","45-64 years","All","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1262",2009,"S12000038","45-64 years","All","Stroke",NA,NA,"Renfrewshire"
"1263",2009,"S12000038","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1264",2009,"S12000038","45-64 years","Male","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1265",2009,"S12000038","45-64 years","Male","Stroke",NA,NA,"Renfrewshire"
"1266",2009,"S12000038","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1267",2009,"S12000038","45-64 years","Female","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1268",2009,"S12000038","45-64 years","Female","Stroke",NA,NA,"Renfrewshire"
"1269",2009,"S12000038","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"Renfrewshire"
"1270",2009,"S12000038","65-74 years","All","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1271",2009,"S12000038","65-74 years","All","Stroke",NA,NA,"Renfrewshire"
"1272",2009,"S12000038","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1273",2009,"S12000038","65-74 years","Male","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1274",2009,"S12000038","65-74 years","Male","Stroke",NA,NA,"Renfrewshire"
"1275",2009,"S12000038","65-74 years","Male","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1276",2009,"S12000038","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1277",2009,"S12000038","65-74 years","Female","Stroke",NA,NA,"Renfrewshire"
"1278",2009,"S12000038","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"Renfrewshire"
"1279",2009,"S12000038","under75 years","All","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1280",2009,"S12000038","under75 years","All","Stroke",NA,NA,"Renfrewshire"
"1281",2009,"S12000038","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1282",2009,"S12000038","under75 years","Male","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1283",2009,"S12000038","under75 years","Male","Stroke",NA,NA,"Renfrewshire"
"1284",2009,"S12000038","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1285",2009,"S12000038","under75 years","Female","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1286",2009,"S12000038","under75 years","Female","Stroke",NA,NA,"Renfrewshire"
"1287",2009,"S12000038","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1288",2009,"S12000038","75plus years","All","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1289",2009,"S12000038","75plus years","All","Stroke",NA,NA,"Renfrewshire"
"1290",2009,"S12000038","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1291",2009,"S12000038","75plus years","Male","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1292",2009,"S12000038","75plus years","Male","Stroke",NA,NA,"Renfrewshire"
"1293",2009,"S12000038","75plus years","Male","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1294",2009,"S12000038","75plus years","Female","Cerebrovascular Disease",NA,NA,"Renfrewshire"
"1295",2009,"S12000038","75plus years","Female","Stroke",NA,NA,"Renfrewshire"
"1296",2009,"S12000038","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"Renfrewshire"
"1297",2009,"S12000039","All","All","Cerebrovascular Disease",75,82.35,"West Dunbartonshire"
"1298",2009,"S12000039","All","All","Stroke",43,47.21,"West Dunbartonshire"
"1299",2009,"S12000039","All","All","Subarachnoid Haemorrhage",2,2.2,"West Dunbartonshire"
"1300",2009,"S12000039","All","Male","Cerebrovascular Disease",28,64.81,"West Dunbartonshire"
"1301",2009,"S12000039","All","Male","Stroke",13,30.09,"West Dunbartonshire"
"1302",2009,"S12000039","All","Male","Subarachnoid Haemorrhage",1,2.31,"West Dunbartonshire"
"1303",2009,"S12000039","All","Female","Cerebrovascular Disease",47,98.17,"West Dunbartonshire"
"1304",2009,"S12000039","All","Female","Stroke",30,62.66,"West Dunbartonshire"
"1305",2009,"S12000039","All","Female","Subarachnoid Haemorrhage",1,2.09,"West Dunbartonshire"
"1306",2009,"S12000039","0-44 years","All","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1307",2009,"S12000039","0-44 years","All","Stroke",0,0,"West Dunbartonshire"
"1308",2009,"S12000039","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"West Dunbartonshire"
"1309",2009,"S12000039","0-44 years","Male","Cerebrovascular Disease",0,0,"West Dunbartonshire"
"1310",2009,"S12000039","0-44 years","Male","Stroke",0,0,"West Dunbartonshire"
"1311",2009,"S12000039","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1312",2009,"S12000039","0-44 years","Female","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1313",2009,"S12000039","0-44 years","Female","Stroke",0,0,"West Dunbartonshire"
"1314",2009,"S12000039","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"West Dunbartonshire"
"1315",2009,"S12000039","45-64 years","All","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1316",2009,"S12000039","45-64 years","All","Stroke",NA,NA,"West Dunbartonshire"
"1317",2009,"S12000039","45-64 years","All","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1318",2009,"S12000039","45-64 years","Male","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1319",2009,"S12000039","45-64 years","Male","Stroke",NA,NA,"West Dunbartonshire"
"1320",2009,"S12000039","45-64 years","Male","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1321",2009,"S12000039","45-64 years","Female","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1322",2009,"S12000039","45-64 years","Female","Stroke",NA,NA,"West Dunbartonshire"
"1323",2009,"S12000039","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1324",2009,"S12000039","65-74 years","All","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1325",2009,"S12000039","65-74 years","All","Stroke",NA,NA,"West Dunbartonshire"
"1326",2009,"S12000039","65-74 years","All","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1327",2009,"S12000039","65-74 years","Male","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1328",2009,"S12000039","65-74 years","Male","Stroke",NA,NA,"West Dunbartonshire"
"1329",2009,"S12000039","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1330",2009,"S12000039","65-74 years","Female","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1331",2009,"S12000039","65-74 years","Female","Stroke",NA,NA,"West Dunbartonshire"
"1332",2009,"S12000039","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1333",2009,"S12000039","under75 years","All","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1334",2009,"S12000039","under75 years","All","Stroke",NA,NA,"West Dunbartonshire"
"1335",2009,"S12000039","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"West Dunbartonshire"
"1336",2009,"S12000039","under75 years","Male","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1337",2009,"S12000039","under75 years","Male","Stroke",NA,NA,"West Dunbartonshire"
"1338",2009,"S12000039","under75 years","Male","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1339",2009,"S12000039","under75 years","Female","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1340",2009,"S12000039","under75 years","Female","Stroke",NA,NA,"West Dunbartonshire"
"1341",2009,"S12000039","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"West Dunbartonshire"
"1342",2009,"S12000039","75plus years","All","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1343",2009,"S12000039","75plus years","All","Stroke",NA,NA,"West Dunbartonshire"
"1344",2009,"S12000039","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"West Dunbartonshire"
"1345",2009,"S12000039","75plus years","Male","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1346",2009,"S12000039","75plus years","Male","Stroke",NA,NA,"West Dunbartonshire"
"1347",2009,"S12000039","75plus years","Male","Subarachnoid Haemorrhage",NA,NA,"West Dunbartonshire"
"1348",2009,"S12000039","75plus years","Female","Cerebrovascular Disease",NA,NA,"West Dunbartonshire"
"1349",2009,"S12000039","75plus years","Female","Stroke",NA,NA,"West Dunbartonshire"
"1350",2009,"S12000039","75plus years","Female","Subarachnoid Haemorrhage",0,0,"West Dunbartonshire"
"1351",2009,"S12000040","All","All","Cerebrovascular Disease",119,68.77,"West Lothian"
"1352",2009,"S12000040","All","All","Stroke",67,38.72,"West Lothian"
"1353",2009,"S12000040","All","All","Subarachnoid Haemorrhage",6,3.47,"West Lothian"
"1354",2009,"S12000040","All","Male","Cerebrovascular Disease",48,56.87,"West Lothian"
"1355",2009,"S12000040","All","Male","Stroke",26,30.81,"West Lothian"
"1356",2009,"S12000040","All","Male","Subarachnoid Haemorrhage",2,2.37,"West Lothian"
"1357",2009,"S12000040","All","Female","Cerebrovascular Disease",71,80.1,"West Lothian"
"1358",2009,"S12000040","All","Female","Stroke",41,46.25,"West Lothian"
"1359",2009,"S12000040","All","Female","Subarachnoid Haemorrhage",4,4.51,"West Lothian"
"1360",2009,"S12000040","0-44 years","All","Cerebrovascular Disease",NA,NA,"West Lothian"
"1361",2009,"S12000040","0-44 years","All","Stroke",NA,NA,"West Lothian"
"1362",2009,"S12000040","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1363",2009,"S12000040","0-44 years","Male","Cerebrovascular Disease",NA,NA,"West Lothian"
"1364",2009,"S12000040","0-44 years","Male","Stroke",NA,NA,"West Lothian"
"1365",2009,"S12000040","0-44 years","Male","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1366",2009,"S12000040","0-44 years","Female","Cerebrovascular Disease",0,0,"West Lothian"
"1367",2009,"S12000040","0-44 years","Female","Stroke",0,0,"West Lothian"
"1368",2009,"S12000040","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"West Lothian"
"1369",2009,"S12000040","45-64 years","All","Cerebrovascular Disease",NA,NA,"West Lothian"
"1370",2009,"S12000040","45-64 years","All","Stroke",NA,NA,"West Lothian"
"1371",2009,"S12000040","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1372",2009,"S12000040","45-64 years","Male","Cerebrovascular Disease",NA,NA,"West Lothian"
"1373",2009,"S12000040","45-64 years","Male","Stroke",NA,NA,"West Lothian"
"1374",2009,"S12000040","45-64 years","Male","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1375",2009,"S12000040","45-64 years","Female","Cerebrovascular Disease",NA,NA,"West Lothian"
"1376",2009,"S12000040","45-64 years","Female","Stroke",NA,NA,"West Lothian"
"1377",2009,"S12000040","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1378",2009,"S12000040","65-74 years","All","Cerebrovascular Disease",NA,NA,"West Lothian"
"1379",2009,"S12000040","65-74 years","All","Stroke",NA,NA,"West Lothian"
"1380",2009,"S12000040","65-74 years","All","Subarachnoid Haemorrhage",0,0,"West Lothian"
"1381",2009,"S12000040","65-74 years","Male","Cerebrovascular Disease",NA,NA,"West Lothian"
"1382",2009,"S12000040","65-74 years","Male","Stroke",NA,NA,"West Lothian"
"1383",2009,"S12000040","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"West Lothian"
"1384",2009,"S12000040","65-74 years","Female","Cerebrovascular Disease",NA,NA,"West Lothian"
"1385",2009,"S12000040","65-74 years","Female","Stroke",NA,NA,"West Lothian"
"1386",2009,"S12000040","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"West Lothian"
"1387",2009,"S12000040","under75 years","All","Cerebrovascular Disease",NA,NA,"West Lothian"
"1388",2009,"S12000040","under75 years","All","Stroke",NA,NA,"West Lothian"
"1389",2009,"S12000040","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1390",2009,"S12000040","under75 years","Male","Cerebrovascular Disease",NA,NA,"West Lothian"
"1391",2009,"S12000040","under75 years","Male","Stroke",NA,NA,"West Lothian"
"1392",2009,"S12000040","under75 years","Male","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1393",2009,"S12000040","under75 years","Female","Cerebrovascular Disease",NA,NA,"West Lothian"
"1394",2009,"S12000040","under75 years","Female","Stroke",NA,NA,"West Lothian"
"1395",2009,"S12000040","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1396",2009,"S12000040","75plus years","All","Cerebrovascular Disease",NA,NA,"West Lothian"
"1397",2009,"S12000040","75plus years","All","Stroke",NA,NA,"West Lothian"
"1398",2009,"S12000040","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1399",2009,"S12000040","75plus years","Male","Cerebrovascular Disease",NA,NA,"West Lothian"
"1400",2009,"S12000040","75plus years","Male","Stroke",NA,NA,"West Lothian"
"1401",2009,"S12000040","75plus years","Male","Subarachnoid Haemorrhage",0,0,"West Lothian"
"1402",2009,"S12000040","75plus years","Female","Cerebrovascular Disease",NA,NA,"West Lothian"
"1403",2009,"S12000040","75plus years","Female","Stroke",NA,NA,"West Lothian"
"1404",2009,"S12000040","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"West Lothian"
"1405",2009,"S12000041","All","All","Cerebrovascular Disease",129,112.34,"Angus"
"1406",2009,"S12000041","All","All","Stroke",71,61.83,"Angus"
"1407",2009,"S12000041","All","All","Subarachnoid Haemorrhage",4,3.48,"Angus"
"1408",2009,"S12000041","All","Male","Cerebrovascular Disease",37,66.6,"Angus"
"1409",2009,"S12000041","All","Male","Stroke",18,32.4,"Angus"
"1410",2009,"S12000041","All","Male","Subarachnoid Haemorrhage",1,1.8,"Angus"
"1411",2009,"S12000041","All","Female","Cerebrovascular Disease",92,155.2,"Angus"
"1412",2009,"S12000041","All","Female","Stroke",53,89.41,"Angus"
"1413",2009,"S12000041","All","Female","Subarachnoid Haemorrhage",3,5.06,"Angus"
"1414",2009,"S12000041","0-44 years","All","Cerebrovascular Disease",NA,NA,"Angus"
"1415",2009,"S12000041","0-44 years","All","Stroke",NA,NA,"Angus"
"1416",2009,"S12000041","0-44 years","All","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1417",2009,"S12000041","0-44 years","Male","Cerebrovascular Disease",NA,NA,"Angus"
"1418",2009,"S12000041","0-44 years","Male","Stroke",NA,NA,"Angus"
"1419",2009,"S12000041","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"Angus"
"1420",2009,"S12000041","0-44 years","Female","Cerebrovascular Disease",NA,NA,"Angus"
"1421",2009,"S12000041","0-44 years","Female","Stroke",0,0,"Angus"
"1422",2009,"S12000041","0-44 years","Female","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1423",2009,"S12000041","45-64 years","All","Cerebrovascular Disease",NA,NA,"Angus"
"1424",2009,"S12000041","45-64 years","All","Stroke",NA,NA,"Angus"
"1425",2009,"S12000041","45-64 years","All","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1426",2009,"S12000041","45-64 years","Male","Cerebrovascular Disease",NA,NA,"Angus"
"1427",2009,"S12000041","45-64 years","Male","Stroke",NA,NA,"Angus"
"1428",2009,"S12000041","45-64 years","Male","Subarachnoid Haemorrhage",0,0,"Angus"
"1429",2009,"S12000041","45-64 years","Female","Cerebrovascular Disease",NA,NA,"Angus"
"1430",2009,"S12000041","45-64 years","Female","Stroke",NA,NA,"Angus"
"1431",2009,"S12000041","45-64 years","Female","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1432",2009,"S12000041","65-74 years","All","Cerebrovascular Disease",NA,NA,"Angus"
"1433",2009,"S12000041","65-74 years","All","Stroke",NA,NA,"Angus"
"1434",2009,"S12000041","65-74 years","All","Subarachnoid Haemorrhage",0,0,"Angus"
"1435",2009,"S12000041","65-74 years","Male","Cerebrovascular Disease",NA,NA,"Angus"
"1436",2009,"S12000041","65-74 years","Male","Stroke",NA,NA,"Angus"
"1437",2009,"S12000041","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"Angus"
"1438",2009,"S12000041","65-74 years","Female","Cerebrovascular Disease",NA,NA,"Angus"
"1439",2009,"S12000041","65-74 years","Female","Stroke",NA,NA,"Angus"
"1440",2009,"S12000041","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"Angus"
"1441",2009,"S12000041","under75 years","All","Cerebrovascular Disease",NA,NA,"Angus"
"1442",2009,"S12000041","under75 years","All","Stroke",NA,NA,"Angus"
"1443",2009,"S12000041","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1444",2009,"S12000041","under75 years","Male","Cerebrovascular Disease",NA,NA,"Angus"
"1445",2009,"S12000041","under75 years","Male","Stroke",NA,NA,"Angus"
"1446",2009,"S12000041","under75 years","Male","Subarachnoid Haemorrhage",0,0,"Angus"
"1447",2009,"S12000041","under75 years","Female","Cerebrovascular Disease",NA,NA,"Angus"
"1448",2009,"S12000041","under75 years","Female","Stroke",NA,NA,"Angus"
"1449",2009,"S12000041","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1450",2009,"S12000041","75plus years","All","Cerebrovascular Disease",NA,NA,"Angus"
"1451",2009,"S12000041","75plus years","All","Stroke",NA,NA,"Angus"
"1452",2009,"S12000041","75plus years","All","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1453",2009,"S12000041","75plus years","Male","Cerebrovascular Disease",NA,NA,"Angus"
"1454",2009,"S12000041","75plus years","Male","Stroke",NA,NA,"Angus"
"1455",2009,"S12000041","75plus years","Male","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1456",2009,"S12000041","75plus years","Female","Cerebrovascular Disease",NA,NA,"Angus"
"1457",2009,"S12000041","75plus years","Female","Stroke",NA,NA,"Angus"
"1458",2009,"S12000041","75plus years","Female","Subarachnoid Haemorrhage",NA,NA,"Angus"
"1459",2009,"S12000042","All","All","Cerebrovascular Disease",148,101.95,"Dundee City"
