"","year","hbr","age_group","sex","diagnosis","number_of_deaths","crude_rate","HBName"
"2064",2011,"S08000024","0-44 years","All","Subarachnoid Haemorrhage",3,0.602608,"NHS Lothian"
"2065",2011,"S08000024","0-44 years","Male","Cerebrovascular Disease",4,1.610073,"NHS Lothian"
"2066",2011,"S08000024","0-44 years","Male","Stroke",0,0,"NHS Lothian"
"2067",2011,"S08000024","0-44 years","Male","Subarachnoid Haemorrhage",2,0.805036,"NHS Lothian"
"2068",2011,"S08000024","0-44 years","Female","Cerebrovascular Disease",3,1.202887,"NHS Lothian"
"2069",2011,"S08000024","0-44 years","Female","Stroke",2,0.801925,"NHS Lothian"
"2070",2011,"S08000024","0-44 years","Female","Subarachnoid Haemorrhage",1,0.400962,"NHS Lothian"
"2071",2011,"S08000024","45-64 years","All","Cerebrovascular Disease",36,16.83714,"NHS Lothian"
"2072",2011,"S08000024","45-64 years","All","Stroke",17,7.950873,"NHS Lothian"
"2073",2011,"S08000024","45-64 years","All","Subarachnoid Haemorrhage",10,4.676984,"NHS Lothian"
"2074",2011,"S08000024","45-64 years","Male","Cerebrovascular Disease",22,20.90142,"NHS Lothian"
"2075",2011,"S08000024","45-64 years","Male","Stroke",11,10.45071,"NHS Lothian"
"2076",2011,"S08000024","45-64 years","Male","Subarachnoid Haemorrhage",4,3.800258,"NHS Lothian"
"2077",2011,"S08000024","45-64 years","Female","Cerebrovascular Disease",14,12.89645,"NHS Lothian"
"2078",2011,"S08000024","45-64 years","Female","Stroke",6,5.52705,"NHS Lothian"
"2079",2011,"S08000024","45-64 years","Female","Subarachnoid Haemorrhage",6,5.52705,"NHS Lothian"
"2080",2011,"S08000024","65-74 years","All","Cerebrovascular Disease",72,108.7203,"NHS Lothian"
"2081",2011,"S08000024","65-74 years","All","Stroke",45,67.95017,"NHS Lothian"
"2082",2011,"S08000024","65-74 years","All","Subarachnoid Haemorrhage",8,12.08003,"NHS Lothian"
"2083",2011,"S08000024","65-74 years","Male","Cerebrovascular Disease",40,129.7943,"NHS Lothian"
"2084",2011,"S08000024","65-74 years","Male","Stroke",21,68.14199,"NHS Lothian"
"2085",2011,"S08000024","65-74 years","Male","Subarachnoid Haemorrhage",6,19.46914,"NHS Lothian"
"2086",2011,"S08000024","65-74 years","Female","Cerebrovascular Disease",32,90.37761,"NHS Lothian"
"2087",2011,"S08000024","65-74 years","Female","Stroke",24,67.78321,"NHS Lothian"
"2088",2011,"S08000024","65-74 years","Female","Subarachnoid Haemorrhage",2,5.648601,"NHS Lothian"
"2089",2011,"S08000024","under75 years","All","Cerebrovascular Disease",115,14.78389,"NHS Lothian"
"2090",2011,"S08000024","under75 years","All","Stroke",64,8.227554,"NHS Lothian"
"2091",2011,"S08000024","under75 years","All","Subarachnoid Haemorrhage",21,2.699666,"NHS Lothian"
"2092",2011,"S08000024","under75 years","Male","Cerebrovascular Disease",66,17.1647,"NHS Lothian"
"2093",2011,"S08000024","under75 years","Male","Stroke",32,8.32228,"NHS Lothian"
"2094",2011,"S08000024","under75 years","Male","Subarachnoid Haemorrhage",12,3.120855,"NHS Lothian"
"2095",2011,"S08000024","under75 years","Female","Cerebrovascular Disease",49,12.45666,"NHS Lothian"
"2096",2011,"S08000024","under75 years","Female","Stroke",32,8.134959,"NHS Lothian"
"2097",2011,"S08000024","under75 years","Female","Subarachnoid Haemorrhage",9,2.287957,"NHS Lothian"
"2098",2011,"S08000024","75plus years","All","Cerebrovascular Disease",434,738.8995,"NHS Lothian"
"2099",2011,"S08000024","75plus years","All","Stroke",239,406.9055,"NHS Lothian"
"2100",2011,"S08000024","75plus years","All","Subarachnoid Haemorrhage",7,11.91773,"NHS Lothian"
"2101",2011,"S08000024","75plus years","Male","Cerebrovascular Disease",126,555.6046,"NHS Lothian"
"2102",2011,"S08000024","75plus years","Male","Stroke",60,264.5736,"NHS Lothian"
"2103",2011,"S08000024","75plus years","Male","Subarachnoid Haemorrhage",1,4.40956,"NHS Lothian"
"2104",2011,"S08000024","75plus years","Female","Cerebrovascular Disease",308,854.1794,"NHS Lothian"
"2105",2011,"S08000024","75plus years","Female","Stroke",179,496.4224,"NHS Lothian"
"2106",2011,"S08000024","75plus years","Female","Subarachnoid Haemorrhage",6,16.63986,"NHS Lothian"
"2107",2011,"S08000025","All","All","Cerebrovascular Disease",22,102.7077,"NHS Orkney"
"2108",2011,"S08000025","All","All","Stroke",17,79.36508,"NHS Orkney"
"2109",2011,"S08000025","All","All","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2110",2011,"S08000025","All","Male","Cerebrovascular Disease",6,56.55042,"NHS Orkney"
"2111",2011,"S08000025","All","Male","Stroke",5,47.12535,"NHS Orkney"
"2112",2011,"S08000025","All","Male","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2113",2011,"S08000025","All","Female","Cerebrovascular Disease",16,148.0111,"NHS Orkney"
"2114",2011,"S08000025","All","Female","Stroke",12,111.0083,"NHS Orkney"
"2115",2011,"S08000025","All","Female","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2116",2011,"S08000025","0-44 years","All","Cerebrovascular Disease",0,0,"NHS Orkney"
"2117",2011,"S08000025","0-44 years","All","Stroke",0,0,"NHS Orkney"
"2118",2011,"S08000025","0-44 years","All","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2119",2011,"S08000025","0-44 years","Male","Cerebrovascular Disease",0,0,"NHS Orkney"
"2120",2011,"S08000025","0-44 years","Male","Stroke",0,0,"NHS Orkney"
"2121",2011,"S08000025","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2122",2011,"S08000025","0-44 years","Female","Cerebrovascular Disease",0,0,"NHS Orkney"
"2123",2011,"S08000025","0-44 years","Female","Stroke",0,0,"NHS Orkney"
"2124",2011,"S08000025","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2125",2011,"S08000025","45-64 years","All","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2126",2011,"S08000025","45-64 years","All","Stroke",NA,NA,"NHS Orkney"
"2127",2011,"S08000025","45-64 years","All","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2128",2011,"S08000025","45-64 years","Male","Cerebrovascular Disease",0,0,"NHS Orkney"
"2129",2011,"S08000025","45-64 years","Male","Stroke",0,0,"NHS Orkney"
"2130",2011,"S08000025","45-64 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2131",2011,"S08000025","45-64 years","Female","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2132",2011,"S08000025","45-64 years","Female","Stroke",NA,NA,"NHS Orkney"
"2133",2011,"S08000025","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2134",2011,"S08000025","65-74 years","All","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2135",2011,"S08000025","65-74 years","All","Stroke",NA,NA,"NHS Orkney"
"2136",2011,"S08000025","65-74 years","All","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2137",2011,"S08000025","65-74 years","Male","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2138",2011,"S08000025","65-74 years","Male","Stroke",NA,NA,"NHS Orkney"
"2139",2011,"S08000025","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2140",2011,"S08000025","65-74 years","Female","Cerebrovascular Disease",0,0,"NHS Orkney"
"2141",2011,"S08000025","65-74 years","Female","Stroke",0,0,"NHS Orkney"
"2142",2011,"S08000025","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2143",2011,"S08000025","under75 years","All","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2144",2011,"S08000025","under75 years","All","Stroke",NA,NA,"NHS Orkney"
"2145",2011,"S08000025","under75 years","All","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2146",2011,"S08000025","under75 years","Male","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2147",2011,"S08000025","under75 years","Male","Stroke",NA,NA,"NHS Orkney"
"2148",2011,"S08000025","under75 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2149",2011,"S08000025","under75 years","Female","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2150",2011,"S08000025","under75 years","Female","Stroke",NA,NA,"NHS Orkney"
"2151",2011,"S08000025","under75 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2152",2011,"S08000025","75plus years","All","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2153",2011,"S08000025","75plus years","All","Stroke",NA,NA,"NHS Orkney"
"2154",2011,"S08000025","75plus years","All","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2155",2011,"S08000025","75plus years","Male","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2156",2011,"S08000025","75plus years","Male","Stroke",NA,NA,"NHS Orkney"
"2157",2011,"S08000025","75plus years","Male","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2158",2011,"S08000025","75plus years","Female","Cerebrovascular Disease",NA,NA,"NHS Orkney"
"2159",2011,"S08000025","75plus years","Female","Stroke",NA,NA,"NHS Orkney"
"2160",2011,"S08000025","75plus years","Female","Subarachnoid Haemorrhage",0,0,"NHS Orkney"
"2161",2011,"S08000026","All","All","Cerebrovascular Disease",14,60.24096,"NHS Shetland"
"2162",2011,"S08000026","All","All","Stroke",13,55.93804,"NHS Shetland"
"2163",2011,"S08000026","All","All","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2164",2011,"S08000026","All","Male","Cerebrovascular Disease",2,16.96641,"NHS Shetland"
"2165",2011,"S08000026","All","Male","Stroke",1,8.483203,"NHS Shetland"
"2166",2011,"S08000026","All","Male","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2167",2011,"S08000026","All","Female","Cerebrovascular Disease",12,104.7852,"NHS Shetland"
"2168",2011,"S08000026","All","Female","Stroke",12,104.7852,"NHS Shetland"
"2169",2011,"S08000026","All","Female","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2170",2011,"S08000026","0-44 years","All","Cerebrovascular Disease",0,0,"NHS Shetland"
"2171",2011,"S08000026","0-44 years","All","Stroke",0,0,"NHS Shetland"
"2172",2011,"S08000026","0-44 years","All","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2173",2011,"S08000026","0-44 years","Male","Cerebrovascular Disease",0,0,"NHS Shetland"
"2174",2011,"S08000026","0-44 years","Male","Stroke",0,0,"NHS Shetland"
"2175",2011,"S08000026","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2176",2011,"S08000026","0-44 years","Female","Cerebrovascular Disease",0,0,"NHS Shetland"
"2177",2011,"S08000026","0-44 years","Female","Stroke",0,0,"NHS Shetland"
"2178",2011,"S08000026","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2179",2011,"S08000026","45-64 years","All","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2180",2011,"S08000026","45-64 years","All","Stroke",NA,NA,"NHS Shetland"
"2181",2011,"S08000026","45-64 years","All","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2182",2011,"S08000026","45-64 years","Male","Cerebrovascular Disease",0,0,"NHS Shetland"
"2183",2011,"S08000026","45-64 years","Male","Stroke",0,0,"NHS Shetland"
"2184",2011,"S08000026","45-64 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2185",2011,"S08000026","45-64 years","Female","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2186",2011,"S08000026","45-64 years","Female","Stroke",NA,NA,"NHS Shetland"
"2187",2011,"S08000026","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2188",2011,"S08000026","65-74 years","All","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2189",2011,"S08000026","65-74 years","All","Stroke",NA,NA,"NHS Shetland"
"2190",2011,"S08000026","65-74 years","All","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2191",2011,"S08000026","65-74 years","Male","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2192",2011,"S08000026","65-74 years","Male","Stroke",0,0,"NHS Shetland"
"2193",2011,"S08000026","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2194",2011,"S08000026","65-74 years","Female","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2195",2011,"S08000026","65-74 years","Female","Stroke",NA,NA,"NHS Shetland"
"2196",2011,"S08000026","65-74 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2197",2011,"S08000026","under75 years","All","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2198",2011,"S08000026","under75 years","All","Stroke",NA,NA,"NHS Shetland"
"2199",2011,"S08000026","under75 years","All","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2200",2011,"S08000026","under75 years","Male","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2201",2011,"S08000026","under75 years","Male","Stroke",0,0,"NHS Shetland"
"2202",2011,"S08000026","under75 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2203",2011,"S08000026","under75 years","Female","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2204",2011,"S08000026","under75 years","Female","Stroke",NA,NA,"NHS Shetland"
"2205",2011,"S08000026","under75 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2206",2011,"S08000026","75plus years","All","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2207",2011,"S08000026","75plus years","All","Stroke",NA,NA,"NHS Shetland"
"2208",2011,"S08000026","75plus years","All","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2209",2011,"S08000026","75plus years","Male","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2210",2011,"S08000026","75plus years","Male","Stroke",NA,NA,"NHS Shetland"
"2211",2011,"S08000026","75plus years","Male","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2212",2011,"S08000026","75plus years","Female","Cerebrovascular Disease",NA,NA,"NHS Shetland"
"2213",2011,"S08000026","75plus years","Female","Stroke",NA,NA,"NHS Shetland"
"2214",2011,"S08000026","75plus years","Female","Subarachnoid Haemorrhage",0,0,"NHS Shetland"
"2215",2011,"S08000028","All","All","Cerebrovascular Disease",16,57.78259,"NHS Western Isles"
"2216",2011,"S08000028","All","All","Stroke",9,32.50271,"NHS Western Isles"
"2217",2011,"S08000028","All","All","Subarachnoid Haemorrhage",1,3.611412,"NHS Western Isles"
"2218",2011,"S08000028","All","Male","Cerebrovascular Disease",5,36.62467,"NHS Western Isles"
"2219",2011,"S08000028","All","Male","Stroke",4,29.29974,"NHS Western Isles"
"2220",2011,"S08000028","All","Male","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2221",2011,"S08000028","All","Female","Cerebrovascular Disease",11,78.35874,"NHS Western Isles"
"2222",2011,"S08000028","All","Female","Stroke",5,35.61761,"NHS Western Isles"
"2223",2011,"S08000028","All","Female","Subarachnoid Haemorrhage",1,7.123522,"NHS Western Isles"
"2224",2011,"S08000028","0-44 years","All","Cerebrovascular Disease",0,0,"NHS Western Isles"
"2225",2011,"S08000028","0-44 years","All","Stroke",0,0,"NHS Western Isles"
"2226",2011,"S08000028","0-44 years","All","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2227",2011,"S08000028","0-44 years","Male","Cerebrovascular Disease",0,0,"NHS Western Isles"
"2228",2011,"S08000028","0-44 years","Male","Stroke",0,0,"NHS Western Isles"
"2229",2011,"S08000028","0-44 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2230",2011,"S08000028","0-44 years","Female","Cerebrovascular Disease",0,0,"NHS Western Isles"
"2231",2011,"S08000028","0-44 years","Female","Stroke",0,0,"NHS Western Isles"
"2232",2011,"S08000028","0-44 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2233",2011,"S08000028","45-64 years","All","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2234",2011,"S08000028","45-64 years","All","Stroke",NA,NA,"NHS Western Isles"
"2235",2011,"S08000028","45-64 years","All","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2236",2011,"S08000028","45-64 years","Male","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2237",2011,"S08000028","45-64 years","Male","Stroke",NA,NA,"NHS Western Isles"
"2238",2011,"S08000028","45-64 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2239",2011,"S08000028","45-64 years","Female","Cerebrovascular Disease",0,0,"NHS Western Isles"
"2240",2011,"S08000028","45-64 years","Female","Stroke",0,0,"NHS Western Isles"
"2241",2011,"S08000028","45-64 years","Female","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2242",2011,"S08000028","65-74 years","All","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2243",2011,"S08000028","65-74 years","All","Stroke",NA,NA,"NHS Western Isles"
"2244",2011,"S08000028","65-74 years","All","Subarachnoid Haemorrhage",NA,NA,"NHS Western Isles"
"2245",2011,"S08000028","65-74 years","Male","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2246",2011,"S08000028","65-74 years","Male","Stroke",NA,NA,"NHS Western Isles"
"2247",2011,"S08000028","65-74 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2248",2011,"S08000028","65-74 years","Female","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2249",2011,"S08000028","65-74 years","Female","Stroke",0,0,"NHS Western Isles"
"2250",2011,"S08000028","65-74 years","Female","Subarachnoid Haemorrhage",NA,NA,"NHS Western Isles"
"2251",2011,"S08000028","under75 years","All","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2252",2011,"S08000028","under75 years","All","Stroke",NA,NA,"NHS Western Isles"
"2253",2011,"S08000028","under75 years","All","Subarachnoid Haemorrhage",NA,NA,"NHS Western Isles"
"2254",2011,"S08000028","under75 years","Male","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2255",2011,"S08000028","under75 years","Male","Stroke",NA,NA,"NHS Western Isles"
"2256",2011,"S08000028","under75 years","Male","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2257",2011,"S08000028","under75 years","Female","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2258",2011,"S08000028","under75 years","Female","Stroke",0,0,"NHS Western Isles"
"2259",2011,"S08000028","under75 years","Female","Subarachnoid Haemorrhage",NA,NA,"NHS Western Isles"
"2260",2011,"S08000028","75plus years","All","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2261",2011,"S08000028","75plus years","All","Stroke",NA,NA,"NHS Western Isles"
"2262",2011,"S08000028","75plus years","All","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2263",2011,"S08000028","75plus years","Male","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2264",2011,"S08000028","75plus years","Male","Stroke",NA,NA,"NHS Western Isles"
"2265",2011,"S08000028","75plus years","Male","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2266",2011,"S08000028","75plus years","Female","Cerebrovascular Disease",NA,NA,"NHS Western Isles"
"2267",2011,"S08000028","75plus years","Female","Stroke",NA,NA,"NHS Western Isles"
"2268",2011,"S08000028","75plus years","Female","Subarachnoid Haemorrhage",0,0,"NHS Western Isles"
"2269",2011,"S08000030","All","All","Cerebrovascular Disease",393,95.79525,"NHS Tayside"
"2270",2011,"S08000030","All","All","Stroke",217,52.89458,"NHS Tayside"
"2271",2011,"S08000030","All","All","Subarachnoid Haemorrhage",15,3.656307,"NHS Tayside"
"2272",2011,"S08000030","All","Male","Cerebrovascular Disease",163,82.05676,"NHS Tayside"
"2273",2011,"S08000030","All","Male","Stroke",85,42.79033,"NHS Tayside"
"2274",2011,"S08000030","All","Male","Subarachnoid Haemorrhage",6,3.020494,"NHS Tayside"
"2275",2011,"S08000030","All","Female","Cerebrovascular Disease",230,108.6921,"NHS Tayside"
"2276",2011,"S08000030","All","Female","Stroke",132,62.37979,"NHS Tayside"
"2277",2011,"S08000030","All","Female","Subarachnoid Haemorrhage",9,4.253167,"NHS Tayside"
"2278",2011,"S08000030","0-44 years","All","Cerebrovascular Disease",5,2.28149,"NHS Tayside"
"2279",2011,"S08000030","0-44 years","All","Stroke",3,1.368894,"NHS Tayside"
"2280",2011,"S08000030","0-44 years","All","Subarachnoid Haemorrhage",2,0.912596,"NHS Tayside"
"2281",2011,"S08000030","0-44 years","Male","Cerebrovascular Disease",1,0.914068,"NHS Tayside"
"2282",2011,"S08000030","0-44 years","Male","Stroke",0,0,"NHS Tayside"
"2283",2011,"S08000030","0-44 years","Male","Subarachnoid Haemorrhage",1,0.914068,"NHS Tayside"
"2284",2011,"S08000030","0-44 years","Female","Cerebrovascular Disease",4,3.644514,"NHS Tayside"
"2285",2011,"S08000030","0-44 years","Female","Stroke",3,2.733386,"NHS Tayside"
"2286",2011,"S08000030","0-44 years","Female","Subarachnoid Haemorrhage",1,0.911129,"NHS Tayside"
"2287",2011,"S08000030","45-64 years","All","Cerebrovascular Disease",21,18.5244,"NHS Tayside"
"2288",2011,"S08000030","45-64 years","All","Stroke",10,8.821143,"NHS Tayside"
"2289",2011,"S08000030","45-64 years","All","Subarachnoid Haemorrhage",6,5.292686,"NHS Tayside"
"2290",2011,"S08000030","45-64 years","Male","Cerebrovascular Disease",9,16.21563,"NHS Tayside"
"2291",2011,"S08000030","45-64 years","Male","Stroke",3,5.405211,"NHS Tayside"
"2292",2011,"S08000030","45-64 years","Male","Subarachnoid Haemorrhage",3,5.405211,"NHS Tayside"
"2293",2011,"S08000030","45-64 years","Female","Cerebrovascular Disease",12,20.739,"NHS Tayside"
"2294",2011,"S08000030","45-64 years","Female","Stroke",7,12.09775,"NHS Tayside"
"2295",2011,"S08000030","45-64 years","Female","Subarachnoid Haemorrhage",3,5.18475,"NHS Tayside"
"2296",2011,"S08000030","65-74 years","All","Cerebrovascular Disease",48,118.3753,"NHS Tayside"
"2297",2011,"S08000030","65-74 years","All","Stroke",28,69.05226,"NHS Tayside"
"2298",2011,"S08000030","65-74 years","All","Subarachnoid Haemorrhage",2,4.932304,"NHS Tayside"
"2299",2011,"S08000030","65-74 years","Male","Cerebrovascular Disease",24,126.1365,"NHS Tayside"
"2300",2011,"S08000030","65-74 years","Male","Stroke",12,63.06827,"NHS Tayside"
"2301",2011,"S08000030","65-74 years","Male","Subarachnoid Haemorrhage",1,5.255689,"NHS Tayside"
"2302",2011,"S08000030","65-74 years","Female","Cerebrovascular Disease",24,111.5138,"NHS Tayside"
"2303",2011,"S08000030","65-74 years","Female","Stroke",16,74.34253,"NHS Tayside"
"2304",2011,"S08000030","65-74 years","Female","Subarachnoid Haemorrhage",1,4.646408,"NHS Tayside"
"2305",2011,"S08000030","under75 years","All","Cerebrovascular Disease",74,19.83553,"NHS Tayside"
"2306",2011,"S08000030","under75 years","All","Stroke",41,10.98995,"NHS Tayside"
"2307",2011,"S08000030","under75 years","All","Subarachnoid Haemorrhage",10,2.680476,"NHS Tayside"
"2308",2011,"S08000030","under75 years","Male","Cerebrovascular Disease",34,18.48529,"NHS Tayside"
"2309",2011,"S08000030","under75 years","Male","Stroke",15,8.155276,"NHS Tayside"
"2310",2011,"S08000030","under75 years","Male","Subarachnoid Haemorrhage",5,2.718425,"NHS Tayside"
"2311",2011,"S08000030","under75 years","Female","Cerebrovascular Disease",40,21.14858,"NHS Tayside"
"2312",2011,"S08000030","under75 years","Female","Stroke",26,13.74658,"NHS Tayside"
"2313",2011,"S08000030","under75 years","Female","Subarachnoid Haemorrhage",5,2.643572,"NHS Tayside"
"2314",2011,"S08000030","75plus years","All","Cerebrovascular Disease",319,857.942,"NHS Tayside"
"2315",2011,"S08000030","75plus years","All","Stroke",176,473.3473,"NHS Tayside"
"2316",2011,"S08000030","75plus years","All","Subarachnoid Haemorrhage",5,13.44737,"NHS Tayside"
"2317",2011,"S08000030","75plus years","Male","Cerebrovascular Disease",129,876.7756,"NHS Tayside"
"2318",2011,"S08000030","75plus years","Male","Stroke",70,475.7697,"NHS Tayside"
"2319",2011,"S08000030","75plus years","Male","Subarachnoid Haemorrhage",1,6.79671,"NHS Tayside"
"2320",2011,"S08000030","75plus years","Female","Cerebrovascular Disease",190,845.6095,"NHS Tayside"
"2321",2011,"S08000030","75plus years","Female","Stroke",106,471.7611,"NHS Tayside"
"2322",2011,"S08000030","75plus years","Female","Subarachnoid Haemorrhage",4,17.80231,"NHS Tayside"
"2323",2011,"S08000021","All","All","Cerebrovascular Disease",1048,92.30227,"NHS Greater Glasgow and Clyde"
"2324",2011,"S08000021","All","All","Stroke",526,46.32729,"NHS Greater Glasgow and Clyde"
"2325",2011,"S08000021","All","All","Subarachnoid Haemorrhage",47,4.13951,"NHS Greater Glasgow and Clyde"
"2326",2011,"S08000021","All","Male","Cerebrovascular Disease",444,81.36875,"NHS Greater Glasgow and Clyde"
"2327",2011,"S08000021","All","Male","Stroke",236,43.25006,"NHS Greater Glasgow and Clyde"
"2328",2011,"S08000021","All","Male","Subarachnoid Haemorrhage",19,3.481996,"NHS Greater Glasgow and Clyde"
"2329",2011,"S08000021","All","Female","Cerebrovascular Disease",604,102.4187,"NHS Greater Glasgow and Clyde"
"2330",2011,"S08000021","All","Female","Stroke",290,49.17455,"NHS Greater Glasgow and Clyde"
"2331",2011,"S08000021","All","Female","Subarachnoid Haemorrhage",28,4.747887,"NHS Greater Glasgow and Clyde"
"2332",2011,"S08000021","0-44 years","All","Cerebrovascular Disease",14,2.131235,"NHS Greater Glasgow and Clyde"
"2333",2011,"S08000021","0-44 years","All","Stroke",3,0.456693,"NHS Greater Glasgow and Clyde"
"2334",2011,"S08000021","0-44 years","All","Subarachnoid Haemorrhage",9,1.37008,"NHS Greater Glasgow and Clyde"
"2335",2011,"S08000021","0-44 years","Male","Cerebrovascular Disease",11,3.367612,"NHS Greater Glasgow and Clyde"
"2336",2011,"S08000021","0-44 years","Male","Stroke",3,0.91844,"NHS Greater Glasgow and Clyde"
"2337",2011,"S08000021","0-44 years","Male","Subarachnoid Haemorrhage",6,1.836879,"NHS Greater Glasgow and Clyde"
"2338",2011,"S08000021","0-44 years","Female","Cerebrovascular Disease",3,0.908389,"NHS Greater Glasgow and Clyde"
"2339",2011,"S08000021","0-44 years","Female","Stroke",0,0,"NHS Greater Glasgow and Clyde"
"2340",2011,"S08000021","0-44 years","Female","Subarachnoid Haemorrhage",3,0.908389,"NHS Greater Glasgow and Clyde"
"2341",2011,"S08000021","45-64 years","All","Cerebrovascular Disease",89,29.68557,"NHS Greater Glasgow and Clyde"
"2342",2011,"S08000021","45-64 years","All","Stroke",56,18.67856,"NHS Greater Glasgow and Clyde"
"2343",2011,"S08000021","45-64 years","All","Subarachnoid Haemorrhage",15,5.003185,"NHS Greater Glasgow and Clyde"
"2344",2011,"S08000021","45-64 years","Male","Cerebrovascular Disease",59,40.69611,"NHS Greater Glasgow and Clyde"
"2345",2011,"S08000021","45-64 years","Male","Stroke",40,27.59058,"NHS Greater Glasgow and Clyde"
"2346",2011,"S08000021","45-64 years","Male","Subarachnoid Haemorrhage",7,4.828352,"NHS Greater Glasgow and Clyde"
"2347",2011,"S08000021","45-64 years","Female","Cerebrovascular Disease",30,19.37584,"NHS Greater Glasgow and Clyde"
"2348",2011,"S08000021","45-64 years","Female","Stroke",16,10.33378,"NHS Greater Glasgow and Clyde"
"2349",2011,"S08000021","45-64 years","Female","Subarachnoid Haemorrhage",8,5.166891,"NHS Greater Glasgow and Clyde"
"2350",2011,"S08000021","65-74 years","All","Cerebrovascular Disease",128,136.0906,"NHS Greater Glasgow and Clyde"
"2351",2011,"S08000021","65-74 years","All","Stroke",74,78.67737,"NHS Greater Glasgow and Clyde"
